44.0, 50.0
36.0, 57.0
29.0, 34.0
40.0, 48.0
30.0, 37.0
30.0, 43.0
41.0, 48.0
38.0, 39.0
40.0, 50.0
36.0, 39.0
25.0, 36.0
36.0, 52.0
32.0, 38.0
32.0, 41.0
34.0, 45.0
33.0, 39.0
23.0, 32.0
27.0, 38.0
31.0, 43.0
30.0, 48.0
38.0, 53.0
39.0, 51.0
35.0, 41.0
44.0, 52.0
40.0, 49.0
27.0, 36.0
32.0, 47.0
43.0, 52.0
24.0, 38.0
33.0, 41.0
39.0, 50.0
40.0, 45.0
30.0, 48.0
43.0, 50.0
34.0, 47.0
41.0, 51.0
35.0, 48.0
31.0, 39.0
20.0, 35.0
39.0, 51.0
31.0, 39.0
42.0, 53.0
40.0, 48.0
31.0, 36.0
39.0, 51.0
34.0, 46.0
27.0, 39.0
37.0, 33.0
24.0, 28.0
36.0, 40.0
23.0, 39.0
33.0, 40.0
44.0, 48.0
36.0, 46.0
45.0, 52.0
38.0, 47.0
40.0, 49.0
39.0, 47.0
31.0, 42.0
29.0, 42.0
36.0, 50.0
36.0, 49.0
18.0, 40.0
30.0, 40.0
28.0, 46.0
33.0, 46.0
38.0, 56.0
24.0, 35.0
40.0, 50.0
35.0, 41.0
41.0, 50.0
37.0, 51.0
22.0, 36.0
32.0, 38.0
13.0, 42.0
34.0, 58.0
37.0, 40.0
40.0, 43.0
34.0, 50.0
31.0, 36.0
13.0, 37.0
42.0, 42.0
25.0, 40.0
36.0, 48.0
42.0, 53.0
39.0, 47.0
39.0, 45.0
38.0, 50.0
35.0, 49.0
39.0, 49.0
28.0, 41.0
34.0, 45.0
42.0, 44.0
29.0, 40.0
34.0, 41.0
38.0, 44.0
36.0, 47.0
32.0, 39.0
40.0, 52.0
32.0, 38.0
25.0, 40.0
50.0, 54.0
40.0, 51.0
43.0, 48.0
40.0, 50.0
31.0, 40.0
39.0, 52.0
37.0, 50.0
38.0, 44.0
27.0, 44.0
23.0, 43.0
34.0, 48.0
44.0, 33.0
37.0, 41.0
33.0, 44.0
38.0, 48.0
28.0, 45.0
35.0, 42.0
16.0, 44.0
35.0, 42.0
40.0, 50.0
38.0, 46.0
38.0, 37.0
41.0, 50.0
38.0, 49.0
34.0, 40.0
34.0, 42.0
33.0, 46.0
35.0, 45.0
31.0, 45.0
38.0, 50.0
26.0, 36.0
36.0, 48.0
49.0, 53.0
29.0, 33.0
45.0, 48.0
43.0, 44.0
26.0, 36.0
36.0, 38.0
27.0, 38.0
38.0, 49.0
36.0, 47.0
37.0, 43.0
27.0, 37.0
26.0, 44.0
44.0, 49.0
40.0, 52.0
30.0, 41.0
34.0, 45.0
32.0, 35.0
28.0, 47.0
35.0, 55.0
35.0, 52.0
38.0, 50.0
31.0, 33.0
25.0, 40.0
40.0, 48.0
26.0, 35.0
28.0, 33.0
29.0, 45.0
44.0, 50.0
37.0, 48.0
29.0, 42.0
29.0, 37.0
38.0, 41.0
39.0, 45.0
