v_prime, v
5.0, 18.0
3.0, 14.0
5.0, 15.0
4.0, 15.0
5.0, 15.0
6.0, 15.0
5.0, 15.0
3.0, 14.0
6.0, 15.0
5.0, 15.0
5.0, 15.0
3.0, 14.0
4.0, 15.0
5.0, 18.0
4.0, 15.0
4.0, 15.0
7.0, 14.0
5.0, 18.0
4.0, 15.0
6.0, 15.0
5.0, 18.0
5.0, 18.0
6.0, 15.0
3.0, 14.0
3.0, 14.0
7.0, 14.0
7.0, 14.0
5.0, 18.0
5.0, 15.0
5.0, 15.0
7.0, 14.0
4.0, 15.0
3.0, 14.0
6.0, 15.0
5.0, 15.0
5.0, 18.0
5.0, 15.0
4.0, 15.0
7.0, 14.0
3.0, 14.0
3.0, 15.0
5.0, 15.0
5.0, 15.0
7.0, 14.0
5.0, 15.0
3.0, 14.0
5.0, 15.0
3.0, 14.0
4.0, 15.0
6.0, 15.0
5.0, 15.0
5.0, 18.0
3.0, 15.0
7.0, 14.0
4.0, 15.0
5.0, 18.0
3.0, 15.0
3.0, 15.0
5.0, 18.0
3.0, 14.0
5.0, 18.0
5.0, 15.0
5.0, 18.0
5.0, 18.0
3.0, 14.0
5.0, 18.0
3.0, 14.0
3.0, 14.0
7.0, 14.0
6.0, 15.0
6.0, 15.0
3.0, 15.0
5.0, 15.0
5.0, 18.0
6.0, 15.0
4.0, 15.0
3.0, 14.0
5.0, 15.0
5.0, 15.0
5.0, 18.0
7.0, 14.0
3.0, 15.0
7.0, 14.0
5.0, 15.0
3.0, 15.0
5.0, 15.0
5.0, 15.0
7.0, 14.0
3.0, 14.0
5.0, 18.0
5.0, 18.0
3.0, 15.0
7.0, 14.0
7.0, 14.0
5.0, 15.0
7.0, 14.0
5.0, 18.0
6.0, 15.0
5.0, 15.0
3.0, 14.0
5.0, 18.0
3.0, 14.0
6.0, 15.0
5.0, 15.0
5.0, 15.0
7.0, 14.0
6.0, 15.0
4.0, 15.0
3.0, 14.0
4.0, 15.0
6.0, 15.0
4.0, 15.0
6.0, 15.0
5.0, 18.0
7.0, 14.0
7.0, 14.0
5.0, 15.0
4.0, 15.0
3.0, 14.0
3.0, 14.0
5.0, 18.0
7.0, 14.0
7.0, 14.0
5.0, 18.0
4.0, 15.0
4.0, 15.0
7.0, 14.0
7.0, 14.0
3.0, 15.0
4.0, 15.0
5.0, 18.0
3.0, 15.0
3.0, 14.0
3.0, 14.0
3.0, 14.0
5.0, 15.0
5.0, 18.0
3.0, 15.0
5.0, 15.0
7.0, 14.0
7.0, 14.0
4.0, 15.0
5.0, 15.0
5.0, 18.0
7.0, 14.0
5.0, 15.0
5.0, 18.0
5.0, 18.0
5.0, 15.0
7.0, 14.0
3.0, 15.0
5.0, 15.0
3.0, 14.0
5.0, 18.0
3.0, 14.0
7.0, 14.0
5.0, 15.0
3.0, 15.0
5.0, 15.0
7.0, 14.0
6.0, 15.0
4.0, 15.0
5.0, 15.0
5.0, 15.0
6.0, 15.0
4.0, 15.0
5.0, 18.0
4.0, 15.0
7.0, 14.0
5.0, 15.0
6.0, 15.0
6.0, 15.0
5.0, 15.0
3.0, 15.0
4.0, 15.0
7.0, 14.0
5.0, 18.0
5.0, 18.0
5.0, 15.0
5.0, 18.0
7.0, 14.0
3.0, 14.0
5.0, 15.0
4.0, 15.0
4.0, 15.0
5.0, 18.0
7.0, 14.0
3.0, 14.0
4.0, 15.0
3.0, 14.0
6.0, 15.0
6.0, 15.0
7.0, 14.0
7.0, 14.0
7.0, 14.0
3.0, 15.0
5.0, 15.0
5.0, 15.0
3.0, 14.0
7.0, 14.0
7.0, 14.0
4.0, 15.0
5.0, 15.0
5.0, 18.0
3.0, 14.0
3.0, 14.0
4.0, 15.0
3.0, 15.0
5.0, 18.0
7.0, 14.0
5.0, 18.0
5.0, 18.0
3.0, 14.0
7.0, 14.0
6.0, 15.0
4.0, 15.0
5.0, 18.0
4.0, 15.0
3.0, 15.0
5.0, 15.0
6.0, 15.0
3.0, 14.0
5.0, 15.0
5.0, 15.0
7.0, 14.0
3.0, 15.0
5.0, 18.0
3.0, 14.0
3.0, 14.0
4.0, 15.0
3.0, 15.0
5.0, 15.0
5.0, 18.0
5.0, 15.0
5.0, 15.0
3.0, 15.0
3.0, 15.0
3.0, 15.0
5.0, 15.0
5.0, 15.0
7.0, 14.0
6.0, 15.0
5.0, 15.0
6.0, 15.0
5.0, 15.0
4.0, 15.0
3.0, 15.0
3.0, 15.0
5.0, 15.0
5.0, 15.0
3.0, 14.0
