v_prime, v
11.0, 25.0
11.0, 22.0
8.0, 26.0
10.0, 26.0
10.0, 27.0
6.0, 26.0
8.0, 26.0
12.0, 26.0
10.0, 26.0
12.0, 24.0
11.0, 23.0
8.0, 25.0
10.0, 26.0
10.0, 25.0
9.0, 25.0
11.0, 23.0
13.0, 23.0
6.0, 26.0
10.0, 23.0
11.0, 30.0
7.0, 25.0
8.0, 25.0
8.0, 25.0
11.0, 24.0
13.0, 26.0
3.0, 26.0
13.0, 30.0
11.0, 30.0
5.0, 26.0
12.0, 30.0
7.0, 27.0
13.0, 20.0
6.0, 27.0
5.0, 27.0
10.0, 24.0
6.0, 26.0
11.0, 25.0
12.0, 24.0
8.0, 23.0
11.0, 26.0
15.0, 30.0
9.0, 25.0
10.0, 24.0
9.0, 24.0
7.0, 25.0
11.0, 25.0
17.0, 30.0
8.0, 26.0
8.0, 26.0
9.0, 26.0
4.0, 26.0
8.0, 25.0
16.0, 26.0
7.0, 23.0
11.0, 22.0
7.0, 25.0
14.0, 24.0
11.0, 25.0
9.0, 24.0
5.0, 26.0
13.0, 24.0
15.0, 21.0
9.0, 23.0
10.0, 25.0
9.0, 25.0
6.0, 26.0
18.0, 21.0
11.0, 24.0
4.0, 26.0
10.0, 26.0
9.0, 26.0
10.0, 25.0
3.0, 24.0
13.0, 30.0
12.0, 30.0
9.0, 26.0
9.0, 24.0
10.0, 23.0
7.0, 25.0
9.0, 24.0
9.0, 26.0
9.0, 25.0
7.0, 25.0
10.0, 24.0
12.0, 25.0
13.0, 22.0
13.0, 25.0
14.0, 30.0
16.0, 22.0
13.0, 30.0
9.0, 24.0
5.0, 26.0
12.0, 30.0
11.0, 26.0
15.0, 30.0
8.0, 25.0
19.0, 30.0
8.0, 23.0
8.0, 25.0
10.0, 27.0
8.0, 25.0
10.0, 26.0
8.0, 20.0
14.0, 30.0
7.0, 27.0
8.0, 25.0
11.0, 26.0
6.0, 26.0
13.0, 25.0
9.0, 25.0
8.0, 27.0
10.0, 24.0
9.0, 24.0
8.0, 25.0
8.0, 25.0
9.0, 24.0
7.0, 27.0
4.0, 27.0
8.0, 25.0
15.0, 30.0
8.0, 26.0
7.0, 24.0
3.0, 27.0
8.0, 23.0
8.0, 23.0
13.0, 23.0
9.0, 25.0
8.0, 26.0
11.0, 25.0
12.0, 24.0
11.0, 25.0
10.0, 25.0
11.0, 25.0
5.0, 24.0
19.0, 30.0
18.0, 30.0
14.0, 24.0
6.0, 25.0
11.0, 27.0
10.0, 26.0
6.0, 24.0
10.0, 24.0
7.0, 26.0
10.0, 25.0
12.0, 23.0
9.0, 25.0
11.0, 24.0
11.0, 24.0
12.0, 24.0
10.0, 23.0
6.0, 26.0
13.0, 24.0
14.0, 25.0
8.0, 26.0
8.0, 26.0
12.0, 25.0
13.0, 24.0
11.0, 23.0
14.0, 22.0
10.0, 26.0
15.0, 30.0
7.0, 25.0
7.0, 26.0
10.0, 24.0
11.0, 24.0
15.0, 22.0
9.0, 26.0
10.0, 24.0
9.0, 25.0
10.0, 24.0
7.0, 25.0
7.0, 24.0
6.0, 26.0
6.0, 27.0
8.0, 24.0
10.0, 20.0
8.0, 26.0
10.0, 26.0
8.0, 26.0
9.0, 23.0
10.0, 23.0
10.0, 24.0
7.0, 26.0
10.0, 23.0
11.0, 24.0
12.0, 30.0
13.0, 24.0
5.0, 26.0
7.0, 26.0
9.0, 26.0
7.0, 25.0
6.0, 26.0
14.0, 23.0
11.0, 26.0
11.0, 26.0
14.0, 24.0
12.0, 23.0
10.0, 24.0
9.0, 26.0
6.0, 26.0
7.0, 24.0
13.0, 23.0
9.0, 25.0
5.0, 25.0
6.0, 26.0
8.0, 27.0
7.0, 23.0
16.0, 23.0
7.0, 26.0
