v_prime, v
17.0, 48.0
21.0, 49.0
28.0, 46.0
16.0, 35.0
12.0, 54.0
15.0, 51.0
24.0, 41.0
15.0, 54.0
17.0, 59.0
15.0, 51.0
13.0, 51.0
22.0, 45.0
16.0, 61.0
22.0, 47.0
21.0, 40.0
19.0, 51.0
28.0, 41.0
22.0, 42.0
23.0, 42.0
17.0, 49.0
10.0, 36.0
20.0, 51.0
19.0, 45.0
17.0, 44.0
15.0, 47.0
12.0, 53.0
17.0, 57.0
13.0, 46.0
14.0, 52.0
15.0, 56.0
11.0, 49.0
15.0, 52.0
17.0, 59.0
20.0, 50.0
27.0, 48.0
5.0, 55.0
18.0, 42.0
30.0, 51.0
28.0, 45.0
17.0, 50.0
18.0, 48.0
37.0, 54.0
21.0, 47.0
40.0, 50.0
18.0, 49.0
20.0, 49.0
15.0, 58.0
24.0, 50.0
11.0, 55.0
33.0, 38.0
13.0, 47.0
11.0, 60.0
26.0, 45.0
18.0, 53.0
15.0, 46.0
21.0, 61.0
12.0, 51.0
18.0, 50.0
13.0, 52.0
24.0, 48.0
20.0, 44.0
27.0, 48.0
15.0, 56.0
19.0, 45.0
13.0, 52.0
19.0, 43.0
22.0, 52.0
6.0, 60.0
11.0, 52.0
18.0, 59.0
11.0, 57.0
29.0, 42.0
15.0, 48.0
15.0, 49.0
21.0, 47.0
28.0, 46.0
20.0, 55.0
22.0, 49.0
17.0, 41.0
16.0, 50.0
19.0, 49.0
19.0, 57.0
39.0, 50.0
15.0, 48.0
30.0, 44.0
9.0, 61.0
19.0, 50.0
18.0, 50.0
17.0, 50.0
26.0, 48.0
21.0, 43.0
30.0, 44.0
14.0, 55.0
19.0, 46.0
37.0, 47.0
14.0, 47.0
18.0, 53.0
23.0, 42.0
24.0, 45.0
9.0, 54.0
33.0, 46.0
16.0, 46.0
28.0, 43.0
17.0, 40.0
16.0, 59.0
19.0, 56.0
13.0, 51.0
11.0, 51.0
23.0, 52.0
22.0, 47.0
15.0, 42.0
12.0, 55.0
13.0, 55.0
21.0, 43.0
18.0, 41.0
23.0, 45.0
16.0, 52.0
22.0, 47.0
24.0, 45.0
27.0, 50.0
16.0, 52.0
10.0, 58.0
29.0, 56.0
27.0, 39.0
15.0, 53.0
17.0, 53.0
18.0, 50.0
14.0, 54.0
19.0, 56.0
30.0, 50.0
10.0, 50.0
37.0, 46.0
14.0, 60.0
17.0, 46.0
19.0, 46.0
29.0, 44.0
38.0, 49.0
26.0, 38.0
16.0, 42.0
12.0, 51.0
21.0, 44.0
19.0, 50.0
19.0, 48.0
23.0, 61.0
20.0, 49.0
5.0, 53.0
32.0, 40.0
10.0, 50.0
36.0, 45.0
17.0, 52.0
40.0, 51.0
9.0, 60.0
12.0, 51.0
41.0, 46.0
10.0, 52.0
23.0, 45.0
17.0, 53.0
24.0, 45.0
9.0, 50.0
14.0, 55.0
31.0, 46.0
26.0, 40.0
9.0, 50.0
41.0, 47.0
28.0, 38.0
33.0, 50.0
27.0, 53.0
11.0, 57.0
20.0, 41.0
27.0, 43.0
23.0, 31.0
16.0, 52.0
29.0, 46.0
10.0, 58.0
19.0, 51.0
33.0, 50.0
14.0, 53.0
13.0, 44.0
21.0, 49.0
7.0, 51.0
14.0, 47.0
18.0, 55.0
14.0, 47.0
19.0, 43.0
26.0, 49.0
15.0, 55.0
19.0, 52.0
15.0, 60.0
25.0, 48.0
19.0, 52.0
15.0, 55.0
23.0, 46.0
24.0, 53.0
17.0, 44.0
15.0, 50.0
20.0, 52.0
19.0, 54.0
24.0, 41.0
10.0, 60.0
12.0, 50.0
14.0, 54.0
27.0, 41.0
18.0, 55.0
30.0, 52.0
20.0, 47.0
8.0, 62.0
42.0, 58.0
9.0, 54.0
15.0, 56.0
27.0, 39.0
45.0, 51.0
15.0, 46.0
12.0, 44.0
21.0, 38.0
25.0, 48.0
28.0, 45.0
13.0, 51.0
29.0, 40.0
34.0, 43.0
17.0, 48.0
18.0, 48.0
8.0, 55.0
11.0, 53.0
21.0, 49.0
28.0, 50.0
