v_prime, v
5.0, 20.0
6.0, 17.0
4.0, 17.0
6.0, 16.0
5.0, 17.0
6.0, 16.0
5.0, 17.0
3.0, 17.0
5.0, 17.0
7.0, 16.0
5.0, 16.0
3.0, 17.0
7.0, 15.0
4.0, 16.0
10.0, 17.0
4.0, 16.0
4.0, 16.0
6.0, 16.0
6.0, 20.0
4.0, 16.0
3.0, 17.0
6.0, 20.0
5.0, 20.0
5.0, 16.0
3.0, 17.0
5.0, 16.0
5.0, 16.0
6.0, 16.0
5.0, 16.0
8.0, 20.0
6.0, 16.0
8.0, 17.0
5.0, 16.0
5.0, 16.0
6.0, 17.0
5.0, 16.0
3.0, 17.0
7.0, 16.0
6.0, 17.0
5.0, 20.0
7.0, 17.0
6.0, 17.0
5.0, 16.0
6.0, 20.0
6.0, 16.0
6.0, 16.0
7.0, 17.0
6.0, 17.0
6.0, 16.0
4.0, 17.0
6.0, 17.0
3.0, 17.0
5.0, 17.0
9.0, 15.0
6.0, 20.0
6.0, 16.0
6.0, 17.0
3.0, 16.0
4.0, 17.0
3.0, 17.0
5.0, 16.0
7.0, 16.0
5.0, 20.0
3.0, 17.0
6.0, 16.0
4.0, 16.0
5.0, 20.0
6.0, 17.0
10.0, 17.0
5.0, 16.0
5.0, 16.0
3.0, 17.0
4.0, 17.0
5.0, 16.0
5.0, 16.0
10.0, 17.0
4.0, 16.0
5.0, 20.0
5.0, 20.0
4.0, 17.0
6.0, 20.0
4.0, 17.0
6.0, 16.0
3.0, 17.0
5.0, 16.0
6.0, 17.0
6.0, 16.0
6.0, 17.0
5.0, 16.0
10.0, 17.0
6.0, 17.0
6.0, 17.0
5.0, 16.0
5.0, 17.0
5.0, 16.0
4.0, 17.0
5.0, 16.0
5.0, 20.0
6.0, 16.0
5.0, 16.0
5.0, 17.0
3.0, 17.0
5.0, 16.0
6.0, 16.0
5.0, 16.0
4.0, 17.0
7.0, 17.0
6.0, 16.0
4.0, 17.0
9.0, 15.0
4.0, 17.0
6.0, 17.0
6.0, 20.0
5.0, 20.0
7.0, 17.0
7.0, 20.0
6.0, 16.0
6.0, 17.0
6.0, 16.0
7.0, 17.0
6.0, 16.0
6.0, 20.0
6.0, 17.0
6.0, 16.0
4.0, 16.0
6.0, 17.0
4.0, 16.0
7.0, 17.0
6.0, 17.0
3.0, 17.0
8.0, 20.0
6.0, 16.0
4.0, 17.0
5.0, 17.0
4.0, 16.0
5.0, 16.0
9.0, 15.0
5.0, 17.0
6.0, 16.0
4.0, 17.0
4.0, 16.0
5.0, 17.0
7.0, 16.0
4.0, 16.0
5.0, 15.0
6.0, 20.0
9.0, 15.0
9.0, 15.0
6.0, 17.0
5.0, 16.0
6.0, 16.0
5.0, 20.0
9.0, 15.0
4.0, 16.0
6.0, 16.0
8.0, 20.0
6.0, 16.0
4.0, 16.0
4.0, 16.0
6.0, 16.0
9.0, 15.0
7.0, 17.0
7.0, 16.0
6.0, 17.0
4.0, 17.0
6.0, 17.0
4.0, 16.0
5.0, 17.0
5.0, 16.0
4.0, 16.0
10.0, 17.0
3.0, 17.0
4.0, 17.0
7.0, 16.0
5.0, 17.0
7.0, 16.0
5.0, 20.0
7.0, 15.0
3.0, 17.0
7.0, 16.0
5.0, 16.0
6.0, 16.0
5.0, 16.0
5.0, 16.0
4.0, 16.0
9.0, 15.0
4.0, 16.0
5.0, 16.0
5.0, 17.0
10.0, 17.0
7.0, 17.0
9.0, 15.0
4.0, 16.0
5.0, 20.0
6.0, 20.0
6.0, 17.0
9.0, 15.0
7.0, 16.0
6.0, 17.0
5.0, 17.0
4.0, 17.0
8.0, 20.0
3.0, 17.0
6.0, 16.0
6.0, 17.0
7.0, 17.0
7.0, 16.0
6.0, 17.0
7.0, 17.0
9.0, 15.0
5.0, 16.0
5.0, 16.0
5.0, 16.0
5.0, 17.0
6.0, 16.0
4.0, 16.0
6.0, 16.0
3.0, 16.0
5.0, 15.0
5.0, 16.0
5.0, 16.0
3.0, 17.0
8.0, 20.0
3.0, 17.0
6.0, 16.0
7.0, 17.0
5.0, 16.0
6.0, 16.0
6.0, 16.0
5.0, 16.0
5.0, 17.0
5.0, 16.0
8.0, 17.0
3.0, 17.0
4.0, 16.0
9.0, 15.0
6.0, 20.0
8.0, 20.0
6.0, 20.0
5.0, 16.0
4.0, 17.0
5.0, 17.0
5.0, 16.0
6.0, 16.0
3.0, 17.0
4.0, 16.0
7.0, 15.0
4.0, 16.0
7.0, 17.0
4.0, 16.0
6.0, 20.0
6.0, 16.0
6.0, 16.0
3.0, 17.0
7.0, 17.0
4.0, 17.0
5.0, 17.0
3.0, 17.0
3.0, 17.0
4.0, 16.0
6.0, 17.0
6.0, 16.0
5.0, 16.0
6.0, 16.0
5.0, 16.0
7.0, 17.0
8.0, 17.0
5.0, 16.0
4.0, 16.0
5.0, 16.0
3.0, 17.0
8.0, 17.0
5.0, 16.0
6.0, 16.0
3.0, 16.0
9.0, 15.0
5.0, 16.0
6.0, 17.0
5.0, 17.0
8.0, 20.0
5.0, 16.0
3.0, 17.0
3.0, 17.0
6.0, 17.0
10.0, 17.0
9.0, 15.0
8.0, 20.0
6.0, 20.0
4.0, 17.0
9.0, 15.0
5.0, 15.0
10.0, 17.0
4.0, 16.0
5.0, 16.0
7.0, 20.0
3.0, 17.0
6.0, 16.0
4.0, 16.0
5.0, 16.0
6.0, 17.0
8.0, 20.0
5.0, 17.0
4.0, 17.0
4.0, 17.0
3.0, 17.0
6.0, 17.0
7.0, 20.0
7.0, 16.0
8.0, 20.0
6.0, 17.0
6.0, 17.0
4.0, 16.0
7.0, 17.0
9.0, 15.0
3.0, 17.0
5.0, 17.0
5.0, 15.0
8.0, 17.0
4.0, 16.0
5.0, 16.0
6.0, 16.0
3.0, 17.0
7.0, 17.0
3.0, 17.0
5.0, 16.0
6.0, 16.0
7.0, 17.0
6.0, 17.0
5.0, 16.0
5.0, 20.0
6.0, 17.0
6.0, 17.0
5.0, 17.0
8.0, 17.0
5.0, 17.0
6.0, 20.0
5.0, 17.0
6.0, 17.0
8.0, 17.0
5.0, 16.0
9.0, 15.0
8.0, 20.0
6.0, 17.0
6.0, 17.0
6.0, 16.0
6.0, 17.0
6.0, 16.0
4.0, 17.0
4.0, 16.0
5.0, 17.0
9.0, 15.0
9.0, 15.0
6.0, 17.0
6.0, 17.0
6.0, 20.0
6.0, 17.0
5.0, 17.0
7.0, 20.0
3.0, 16.0
4.0, 16.0
4.0, 16.0
6.0, 16.0
3.0, 17.0
5.0, 17.0
9.0, 15.0
7.0, 16.0
6.0, 20.0
6.0, 16.0
6.0, 16.0
7.0, 16.0
4.0, 16.0
4.0, 16.0
6.0, 20.0
6.0, 16.0
9.0, 15.0
5.0, 17.0
4.0, 16.0
7.0, 16.0
9.0, 15.0
8.0, 17.0
4.0, 16.0
6.0, 17.0
7.0, 16.0
3.0, 17.0
3.0, 17.0
4.0, 17.0
5.0, 16.0
6.0, 17.0
10.0, 17.0
6.0, 20.0
5.0, 16.0
6.0, 17.0
4.0, 16.0
6.0, 20.0
6.0, 17.0
4.0, 17.0
4.0, 17.0
7.0, 17.0
6.0, 16.0
6.0, 20.0
5.0, 17.0
9.0, 15.0
4.0, 17.0
5.0, 17.0
7.0, 16.0
5.0, 16.0
5.0, 16.0
6.0, 17.0
5.0, 17.0
3.0, 17.0
8.0, 17.0
6.0, 16.0
6.0, 16.0
5.0, 16.0
5.0, 17.0
6.0, 17.0
3.0, 17.0
6.0, 16.0
3.0, 16.0
6.0, 16.0
6.0, 17.0
3.0, 17.0
3.0, 17.0
6.0, 17.0
7.0, 16.0
7.0, 15.0
6.0, 16.0
3.0, 16.0
5.0, 17.0
4.0, 16.0
5.0, 20.0
5.0, 17.0
8.0, 20.0
4.0, 16.0
6.0, 20.0
9.0, 15.0
5.0, 15.0
5.0, 16.0
6.0, 17.0
4.0, 17.0
6.0, 17.0
6.0, 16.0
7.0, 16.0
5.0, 16.0
5.0, 16.0
5.0, 16.0
3.0, 17.0
6.0, 16.0
5.0, 16.0
6.0, 16.0
5.0, 16.0
5.0, 17.0
5.0, 16.0
6.0, 16.0
7.0, 16.0
6.0, 20.0
6.0, 17.0
9.0, 15.0
5.0, 20.0
5.0, 16.0
6.0, 17.0
4.0, 16.0
6.0, 16.0
7.0, 16.0
6.0, 16.0
6.0, 16.0
3.0, 17.0
5.0, 16.0
5.0, 17.0
8.0, 20.0
6.0, 17.0
4.0, 17.0
4.0, 17.0
7.0, 17.0
9.0, 15.0
6.0, 20.0
6.0, 16.0
7.0, 15.0
5.0, 16.0
3.0, 17.0
5.0, 20.0
5.0, 16.0
7.0, 17.0
