v_prime, v
13.0, 45.0
15.0, 52.0
19.0, 49.0
18.0, 49.0
16.0, 44.0
31.0, 44.0
22.0, 41.0
25.0, 44.0
20.0, 47.0
4.0, 61.0
14.0, 51.0
32.0, 51.0
26.0, 43.0
26.0, 43.0
16.0, 51.0
37.0, 44.0
20.0, 49.0
7.0, 50.0
19.0, 42.0
27.0, 40.0
14.0, 56.0
15.0, 49.0
15.0, 49.0
23.0, 42.0
15.0, 53.0
19.0, 58.0
31.0, 43.0
23.0, 48.0
14.0, 46.0
24.0, 44.0
33.0, 38.0
36.0, 47.0
14.0, 47.0
16.0, 46.0
19.0, 46.0
29.0, 43.0
12.0, 52.0
18.0, 49.0
11.0, 53.0
18.0, 46.0
26.0, 47.0
14.0, 53.0
16.0, 46.0
16.0, 50.0
13.0, 52.0
12.0, 51.0
9.0, 52.0
8.0, 54.0
13.0, 51.0
25.0, 40.0
17.0, 50.0
41.0, 54.0
9.0, 60.0
22.0, 52.0
5.0, 60.0
20.0, 55.0
8.0, 42.0
13.0, 45.0
26.0, 44.0
13.0, 50.0
12.0, 49.0
20.0, 58.0
14.0, 47.0
16.0, 47.0
29.0, 38.0
17.0, 53.0
17.0, 45.0
21.0, 43.0
14.0, 52.0
19.0, 53.0
17.0, 46.0
20.0, 48.0
14.0, 43.0
14.0, 52.0
30.0, 49.0
14.0, 50.0
24.0, 40.0
20.0, 49.0
20.0, 50.0
15.0, 48.0
20.0, 51.0
21.0, 44.0
12.0, 52.0
11.0, 54.0
8.0, 50.0
34.0, 36.0
19.0, 35.0
20.0, 44.0
14.0, 50.0
21.0, 45.0
18.0, 42.0
22.0, 39.0
16.0, 49.0
15.0, 46.0
16.0, 42.0
21.0, 40.0
16.0, 47.0
17.0, 60.0
27.0, 49.0
41.0, 53.0
26.0, 47.0
16.0, 44.0
13.0, 48.0
20.0, 50.0
13.0, 50.0
12.0, 54.0
26.0, 41.0
28.0, 41.0
13.0, 54.0
15.0, 49.0
19.0, 58.0
31.0, 42.0
10.0, 52.0
10.0, 56.0
18.0, 41.0
41.0, 49.0
19.0, 43.0
16.0, 45.0
15.0, 43.0
14.0, 53.0
18.0, 39.0
15.0, 44.0
25.0, 37.0
19.0, 41.0
42.0, 47.0
23.0, 48.0
16.0, 50.0
18.0, 47.0
14.0, 54.0
10.0, 59.0
24.0, 48.0
16.0, 47.0
19.0, 48.0
21.0, 41.0
18.0, 41.0
31.0, 45.0
13.0, 54.0
17.0, 51.0
20.0, 49.0
20.0, 38.0
27.0, 45.0
11.0, 45.0
22.0, 47.0
20.0, 42.0
13.0, 54.0
13.0, 46.0
15.0, 46.0
12.0, 54.0
20.0, 48.0
9.0, 49.0
11.0, 47.0
27.0, 42.0
14.0, 49.0
10.0, 56.0
25.0, 41.0
18.0, 42.0
21.0, 45.0
19.0, 48.0
17.0, 45.0
11.0, 58.0
15.0, 40.0
17.0, 50.0
9.0, 52.0
24.0, 40.0
15.0, 49.0
18.0, 43.0
15.0, 59.0
26.0, 50.0
16.0, 47.0
23.0, 43.0
13.0, 45.0
13.0, 52.0
19.0, 45.0
18.0, 53.0
14.0, 56.0
13.0, 48.0
19.0, 48.0
17.0, 49.0
16.0, 39.0
37.0, 47.0
15.0, 52.0
34.0, 48.0
11.0, 55.0
15.0, 46.0
13.0, 49.0
16.0, 43.0
30.0, 41.0
15.0, 43.0
18.0, 42.0
11.0, 53.0
14.0, 47.0
13.0, 51.0
13.0, 55.0
9.0, 50.0
15.0, 58.0
18.0, 53.0
26.0, 46.0
12.0, 52.0
18.0, 56.0
25.0, 47.0
9.0, 54.0
8.0, 51.0
30.0, 42.0
17.0, 45.0
33.0, 41.0
29.0, 42.0
26.0, 46.0
22.0, 52.0
11.0, 58.0
37.0, 50.0
14.0, 53.0
12.0, 52.0
27.0, 49.0
25.0, 42.0
11.0, 60.0
23.0, 44.0
23.0, 44.0
14.0, 52.0
14.0, 59.0
26.0, 44.0
33.0, 44.0
18.0, 49.0
16.0, 48.0
23.0, 52.0
18.0, 50.0
21.0, 46.0
16.0, 49.0
17.0, 46.0
20.0, 41.0
19.0, 48.0
11.0, 52.0
15.0, 55.0
22.0, 55.0
30.0, 42.0
41.0, 47.0
19.0, 51.0
12.0, 47.0
22.0, 41.0
20.0, 51.0
7.0, 51.0
38.0, 42.0
17.0, 54.0
14.0, 48.0
39.0, 52.0
38.0, 44.0
17.0, 40.0
10.0, 56.0
15.0, 56.0
30.0, 49.0
20.0, 56.0
37.0, 44.0
8.0, 60.0
21.0, 52.0
22.0, 42.0
16.0, 56.0
19.0, 51.0
16.0, 48.0
18.0, 52.0
15.0, 51.0
5.0, 50.0
21.0, 42.0
13.0, 48.0
16.0, 54.0
15.0, 52.0
24.0, 48.0
26.0, 40.0
24.0, 44.0
25.0, 48.0
30.0, 37.0
38.0, 51.0
35.0, 49.0
19.0, 52.0
17.0, 49.0
12.0, 53.0
21.0, 42.0
7.0, 52.0
18.0, 43.0
12.0, 53.0
13.0, 56.0
19.0, 47.0
24.0, 43.0
24.0, 42.0
6.0, 52.0
13.0, 54.0
22.0, 54.0
13.0, 51.0
27.0, 45.0
13.0, 56.0
13.0, 53.0
18.0, 49.0
14.0, 55.0
14.0, 52.0
12.0, 54.0
22.0, 44.0
21.0, 53.0
34.0, 49.0
28.0, 39.0
36.0, 52.0
13.0, 53.0
16.0, 52.0
20.0, 47.0
25.0, 40.0
12.0, 49.0
23.0, 43.0
10.0, 50.0
21.0, 47.0
25.0, 37.0
15.0, 49.0
20.0, 50.0
6.0, 57.0
15.0, 54.0
21.0, 51.0
18.0, 53.0
21.0, 50.0
24.0, 43.0
18.0, 48.0
22.0, 42.0
22.0, 45.0
20.0, 43.0
13.0, 53.0
21.0, 53.0
20.0, 45.0
21.0, 49.0
29.0, 47.0
13.0, 51.0
18.0, 46.0
16.0, 45.0
15.0, 50.0
12.0, 49.0
36.0, 54.0
35.0, 41.0
20.0, 48.0
12.0, 44.0
25.0, 44.0
22.0, 52.0
25.0, 48.0
37.0, 52.0
17.0, 52.0
21.0, 48.0
26.0, 40.0
19.0, 46.0
16.0, 45.0
17.0, 36.0
23.0, 46.0
16.0, 51.0
46.0, 49.0
21.0, 41.0
22.0, 47.0
15.0, 53.0
34.0, 52.0
36.0, 52.0
18.0, 48.0
15.0, 55.0
20.0, 50.0
15.0, 42.0
16.0, 51.0
16.0, 51.0
26.0, 43.0
17.0, 45.0
12.0, 52.0
40.0, 49.0
22.0, 49.0
20.0, 41.0
28.0, 45.0
22.0, 50.0
9.0, 57.0
23.0, 44.0
21.0, 44.0
27.0, 41.0
8.0, 51.0
15.0, 54.0
39.0, 50.0
20.0, 53.0
29.0, 40.0
27.0, 44.0
16.0, 53.0
19.0, 46.0
