v_prime, v
18.0, 43.0
16.0, 39.0
11.0, 47.0
21.0, 42.0
14.0, 40.0
27.0, 38.0
21.0, 34.0
18.0, 38.0
15.0, 46.0
14.0, 42.0
16.0, 41.0
18.0, 38.0
13.0, 45.0
23.0, 39.0
11.0, 46.0
9.0, 44.0
23.0, 43.0
10.0, 46.0
13.0, 43.0
20.0, 43.0
13.0, 44.0
16.0, 45.0
10.0, 46.0
19.0, 35.0
9.0, 48.0
18.0, 40.0
17.0, 34.0
21.0, 38.0
14.0, 48.0
33.0, 44.0
19.0, 42.0
38.0, 42.0
34.0, 46.0
11.0, 50.0
21.0, 41.0
13.0, 46.0
12.0, 44.0
14.0, 46.0
10.0, 48.0
15.0, 44.0
17.0, 44.0
11.0, 45.0
18.0, 39.0
9.0, 46.0
13.0, 41.0
14.0, 42.0
8.0, 48.0
12.0, 48.0
14.0, 45.0
13.0, 45.0
14.0, 46.0
16.0, 43.0
25.0, 44.0
34.0, 41.0
14.0, 43.0
19.0, 43.0
10.0, 45.0
13.0, 46.0
19.0, 44.0
16.0, 46.0
22.0, 42.0
19.0, 44.0
9.0, 49.0
14.0, 44.0
10.0, 44.0
16.0, 41.0
12.0, 44.0
18.0, 40.0
22.0, 42.0
16.0, 42.0
19.0, 38.0
14.0, 44.0
13.0, 43.0
22.0, 40.0
19.0, 41.0
25.0, 44.0
16.0, 44.0
17.0, 36.0
17.0, 45.0
23.0, 37.0
22.0, 39.0
18.0, 43.0
10.0, 40.0
18.0, 43.0
17.0, 40.0
16.0, 44.0
13.0, 41.0
16.0, 44.0
13.0, 47.0
9.0, 45.0
16.0, 40.0
14.0, 41.0
20.0, 40.0
8.0, 49.0
15.0, 44.0
7.0, 45.0
23.0, 44.0
13.0, 40.0
15.0, 48.0
14.0, 45.0
14.0, 45.0
19.0, 39.0
31.0, 42.0
13.0, 40.0
22.0, 41.0
9.0, 41.0
21.0, 44.0
14.0, 46.0
9.0, 43.0
8.0, 48.0
17.0, 41.0
21.0, 40.0
17.0, 47.0
12.0, 43.0
23.0, 40.0
26.0, 37.0
9.0, 45.0
20.0, 44.0
19.0, 41.0
34.0, 44.0
19.0, 41.0
14.0, 47.0
9.0, 51.0
8.0, 47.0
17.0, 45.0
9.0, 42.0
18.0, 44.0
19.0, 38.0
17.0, 39.0
15.0, 43.0
30.0, 38.0
12.0, 42.0
10.0, 43.0
13.0, 46.0
14.0, 40.0
19.0, 39.0
14.0, 43.0
19.0, 37.0
23.0, 33.0
17.0, 44.0
20.0, 39.0
17.0, 39.0
17.0, 38.0
21.0, 37.0
11.0, 46.0
20.0, 45.0
17.0, 39.0
13.0, 44.0
11.0, 45.0
13.0, 41.0
15.0, 45.0
24.0, 37.0
10.0, 48.0
11.0, 43.0
26.0, 35.0
12.0, 46.0
9.0, 52.0
25.0, 41.0
19.0, 44.0
16.0, 43.0
17.0, 47.0
21.0, 42.0
15.0, 43.0
13.0, 46.0
15.0, 39.0
19.0, 46.0
20.0, 40.0
17.0, 45.0
24.0, 42.0
18.0, 40.0
19.0, 42.0
20.0, 41.0
12.0, 51.0
13.0, 41.0
13.0, 43.0
9.0, 46.0
13.0, 48.0
16.0, 42.0
23.0, 43.0
7.0, 45.0
11.0, 46.0
10.0, 41.0
11.0, 44.0
13.0, 41.0
26.0, 43.0
21.0, 39.0
21.0, 35.0
14.0, 43.0
13.0, 45.0
11.0, 48.0
14.0, 43.0
13.0, 40.0
15.0, 47.0
14.0, 44.0
13.0, 48.0
20.0, 44.0
20.0, 43.0
13.0, 45.0
7.0, 46.0
16.0, 44.0
16.0, 49.0
23.0, 42.0
13.0, 45.0
11.0, 46.0
15.0, 42.0
10.0, 48.0
9.0, 46.0
16.0, 38.0
22.0, 46.0
16.0, 38.0
26.0, 33.0
20.0, 35.0
16.0, 44.0
