v_prime, v
18.0, 38.0
15.0, 40.0
14.0, 44.0
12.0, 42.0
20.0, 39.0
13.0, 44.0
20.0, 35.0
15.0, 42.0
10.0, 43.0
12.0, 38.0
15.0, 44.0
17.0, 40.0
14.0, 42.0
16.0, 42.0
15.0, 37.0
22.0, 35.0
20.0, 39.0
15.0, 40.0
19.0, 45.0
15.0, 41.0
14.0, 41.0
18.0, 37.0
24.0, 35.0
17.0, 37.0
16.0, 41.0
12.0, 45.0
14.0, 45.0
13.0, 45.0
19.0, 41.0
11.0, 45.0
7.0, 42.0
13.0, 41.0
17.0, 42.0
17.0, 39.0
12.0, 43.0
8.0, 37.0
15.0, 40.0
11.0, 38.0
14.0, 42.0
9.0, 42.0
15.0, 37.0
15.0, 40.0
28.0, 38.0
27.0, 34.0
19.0, 35.0
13.0, 44.0
14.0, 42.0
14.0, 40.0
6.0, 46.0
16.0, 42.0
6.0, 45.0
38.0, 42.0
12.0, 42.0
13.0, 41.0
13.0, 40.0
12.0, 44.0
12.0, 44.0
10.0, 43.0
13.0, 39.0
16.0, 38.0
15.0, 36.0
16.0, 40.0
13.0, 43.0
17.0, 33.0
12.0, 46.0
16.0, 40.0
15.0, 41.0
16.0, 44.0
13.0, 44.0
22.0, 44.0
12.0, 41.0
15.0, 44.0
15.0, 46.0
16.0, 41.0
15.0, 41.0
18.0, 42.0
17.0, 42.0
14.0, 43.0
11.0, 45.0
13.0, 39.0
23.0, 36.0
20.0, 39.0
24.0, 34.0
14.0, 43.0
15.0, 37.0
12.0, 41.0
24.0, 34.0
10.0, 43.0
22.0, 30.0
19.0, 44.0
14.0, 45.0
18.0, 39.0
15.0, 41.0
13.0, 44.0
16.0, 35.0
6.0, 44.0
18.0, 35.0
13.0, 40.0
13.0, 38.0
18.0, 40.0
10.0, 42.0
16.0, 43.0
24.0, 39.0
14.0, 44.0
29.0, 36.0
14.0, 42.0
9.0, 40.0
13.0, 47.0
12.0, 41.0
22.0, 38.0
16.0, 44.0
12.0, 43.0
18.0, 44.0
13.0, 42.0
6.0, 44.0
15.0, 40.0
10.0, 39.0
15.0, 43.0
13.0, 41.0
24.0, 36.0
13.0, 40.0
16.0, 38.0
19.0, 36.0
15.0, 43.0
13.0, 44.0
15.0, 40.0
9.0, 43.0
14.0, 42.0
12.0, 41.0
18.0, 40.0
12.0, 43.0
22.0, 39.0
15.0, 40.0
11.0, 45.0
32.0, 42.0
15.0, 45.0
9.0, 45.0
17.0, 41.0
16.0, 39.0
16.0, 41.0
27.0, 35.0
31.0, 50.0
22.0, 38.0
21.0, 27.0
12.0, 46.0
16.0, 43.0
13.0, 41.0
17.0, 41.0
13.0, 44.0
11.0, 43.0
10.0, 45.0
11.0, 44.0
7.0, 45.0
19.0, 42.0
23.0, 39.0
25.0, 35.0
21.0, 37.0
9.0, 42.0
13.0, 44.0
22.0, 37.0
16.0, 43.0
10.0, 44.0
16.0, 41.0
15.0, 43.0
13.0, 43.0
9.0, 43.0
16.0, 33.0
12.0, 36.0
14.0, 44.0
23.0, 40.0
15.0, 39.0
15.0, 36.0
29.0, 30.0
15.0, 42.0
20.0, 40.0
18.0, 38.0
11.0, 45.0
14.0, 38.0
7.0, 42.0
16.0, 37.0
22.0, 38.0
13.0, 43.0
20.0, 36.0
14.0, 39.0
13.0, 42.0
12.0, 45.0
10.0, 44.0
9.0, 43.0
15.0, 44.0
22.0, 31.0
13.0, 44.0
10.0, 42.0
12.0, 43.0
20.0, 38.0
14.0, 40.0
16.0, 42.0
15.0, 43.0
18.0, 32.0
23.0, 32.0
16.0, 43.0
13.0, 42.0
19.0, 39.0
11.0, 37.0
9.0, 41.0
15.0, 44.0
13.0, 46.0
13.0, 42.0
20.0, 42.0
9.0, 44.0
14.0, 44.0
12.0, 43.0
9.0, 44.0
12.0, 42.0
23.0, 37.0
7.0, 41.0
16.0, 39.0
9.0, 42.0
13.0, 45.0
26.0, 26.0
15.0, 43.0
20.0, 47.0
20.0, 38.0
10.0, 31.0
33.0, 50.0
14.0, 44.0
13.0, 50.0
26.0, 34.0
8.0, 42.0
20.0, 39.0
16.0, 46.0
17.0, 31.0
18.0, 44.0
23.0, 41.0
17.0, 40.0
19.0, 43.0
19.0, 40.0
24.0, 38.0
13.0, 47.0
18.0, 44.0
15.0, 42.0
8.0, 42.0
13.0, 42.0
9.0, 45.0
19.0, 36.0
21.0, 45.0
9.0, 45.0
14.0, 44.0
9.0, 44.0
18.0, 39.0
16.0, 42.0
14.0, 35.0
5.0, 46.0
14.0, 43.0
9.0, 44.0
7.0, 44.0
15.0, 44.0
16.0, 41.0
18.0, 32.0
12.0, 38.0
21.0, 31.0
13.0, 45.0
16.0, 44.0
15.0, 41.0
10.0, 42.0
10.0, 42.0
16.0, 44.0
13.0, 41.0
31.0, 34.0
11.0, 42.0
8.0, 46.0
16.0, 41.0
24.0, 33.0
16.0, 42.0
15.0, 42.0
18.0, 41.0
11.0, 44.0
17.0, 41.0
10.0, 43.0
20.0, 42.0
16.0, 40.0
11.0, 40.0
17.0, 44.0
9.0, 42.0
16.0, 41.0
8.0, 45.0
17.0, 42.0
18.0, 37.0
8.0, 44.0
15.0, 43.0
9.0, 44.0
23.0, 35.0
11.0, 41.0
15.0, 43.0
12.0, 43.0
15.0, 40.0
20.0, 39.0
5.0, 42.0
11.0, 44.0
11.0, 38.0
14.0, 39.0
19.0, 34.0
9.0, 44.0
5.0, 46.0
15.0, 46.0
17.0, 42.0
18.0, 40.0
12.0, 42.0
19.0, 38.0
6.0, 44.0
17.0, 44.0
19.0, 41.0
12.0, 49.0
14.0, 40.0
22.0, 41.0
20.0, 40.0
15.0, 42.0
10.0, 41.0
13.0, 41.0
22.0, 42.0
8.0, 41.0
14.0, 42.0
27.0, 35.0
7.0, 42.0
17.0, 38.0
13.0, 40.0
16.0, 36.0
14.0, 41.0
13.0, 46.0
14.0, 41.0
16.0, 39.0
10.0, 40.0
14.0, 42.0
13.0, 45.0
9.0, 50.0
8.0, 43.0
16.0, 38.0
13.0, 40.0
13.0, 45.0
10.0, 42.0
16.0, 41.0
11.0, 40.0
20.0, 37.0
26.0, 38.0
9.0, 42.0
26.0, 36.0
16.0, 44.0
20.0, 40.0
20.0, 38.0
12.0, 42.0
11.0, 41.0
12.0, 41.0
22.0, 32.0
14.0, 33.0
32.0, 41.0
8.0, 43.0
22.0, 33.0
9.0, 45.0
18.0, 39.0
23.0, 37.0
17.0, 39.0
19.0, 39.0
12.0, 40.0
4.0, 46.0
19.0, 37.0
10.0, 39.0
13.0, 44.0
17.0, 41.0
12.0, 44.0
12.0, 43.0
18.0, 33.0
6.0, 47.0
13.0, 42.0
11.0, 44.0
10.0, 43.0
7.0, 43.0
16.0, 40.0
16.0, 40.0
32.0, 39.0
17.0, 41.0
15.0, 37.0
16.0, 35.0
12.0, 41.0
14.0, 39.0
12.0, 43.0
16.0, 40.0
11.0, 43.0
15.0, 38.0
14.0, 44.0
20.0, 40.0
14.0, 39.0
11.0, 44.0
9.0, 46.0
22.0, 35.0
22.0, 38.0
16.0, 37.0
12.0, 42.0
21.0, 41.0
18.0, 41.0
13.0, 33.0
10.0, 43.0
8.0, 45.0
18.0, 39.0
14.0, 45.0
14.0, 39.0
15.0, 41.0
24.0, 32.0
21.0, 37.0
8.0, 49.0
7.0, 45.0
18.0, 35.0
12.0, 41.0
18.0, 43.0
27.0, 35.0
18.0, 37.0
14.0, 30.0
15.0, 47.0
8.0, 44.0
8.0, 41.0
16.0, 40.0
12.0, 40.0
17.0, 38.0
